date,sensor_id,zone_id,ground_moisture,temperature,humidity,pH,nutrient_N,nutrient_P,nutrient_K
2023-11-25,S1_1,zone_1,17.32,12.24,58.97,5.99,38.33,28.68,210.81
2023-11-26,S1_1,zone_1,14.02,24.0,59.94,6.22,38.67,24.34,219.58
2023-11-27,S1_1,zone_1,10.0,22.42,48.03,6.13,37.72,24.63,211.12
2023-11-28,S1_1,zone_1,10.0,25.13,76.16,5.79,37.05,24.27,184.61
2023-11-29,S1_1,zone_1,10.0,22.28,68.38,5.91,37.97,23.35,171.34
2023-11-30,S1_1,zone_1,10.0,22.57,68.4,5.56,38.0,25.19,182.71
2023-12-01,S1_1,zone_1,10.0,13.99,75.37,6.13,39.46,23.78,171.91
2023-12-02,S1_1,zone_1,10.0,16.08,73.24,6.19,39.99,23.53,197.36
2023-12-03,S1_1,zone_1,10.0,11.98,65.58,6.0,39.15,23.41,198.92
2023-12-04,S1_1,zone_1,10.0,11.13,68.25,5.88,38.62,23.07,199.87
2023-12-05,S1_1,zone_1,10.0,21.4,70.95,6.02,36.53,25.12,205.25
2023-12-06,S1_1,zone_1,10.92,15.59,78.36,6.08,36.1,26.39,191.76
2023-12-07,S1_1,zone_1,12.77,11.52,79.46,6.18,36.65,24.34,203.4
2023-12-08,S1_1,zone_1,13.65,12.03,72.04,6.16,33.36,23.45,155.48
2023-12-09,S1_1,zone_1,12.71,19.92,72.4,6.0,34.35,17.0,201.71
2023-12-10,S1_1,zone_1,10.48,16.49,74.65,5.88,32.95,17.59,178.01
2023-12-11,S1_1,zone_1,10.22,13.32,69.66,6.23,31.28,25.6,206.91
2023-12-12,S1_1,zone_1,10.0,15.07,79.6,6.27,32.59,25.95,165.72
2023-12-13,S1_1,zone_1,10.22,18.78,69.46,6.07,33.43,27.06,197.15
2023-12-14,S1_1,zone_1,10.0,16.82,70.88,6.06,33.94,23.32,189.57
2023-12-15,S1_1,zone_1,10.0,11.1,69.74,5.99,34.57,27.33,201.64
2023-12-16,S1_1,zone_1,10.43,13.53,60.64,5.95,33.16,27.49,195.67
2023-12-17,S1_1,zone_1,11.89,8.2,66.62,5.91,33.71,20.74,213.33
2023-12-18,S1_1,zone_1,10.0,13.73,71.66,6.18,35.06,18.8,195.52
2023-12-19,S1_1,zone_1,10.0,16.89,69.57,6.12,35.25,27.97,221.81
2023-12-20,S1_1,zone_1,10.0,10.06,61.82,5.98,37.85,19.05,198.12
2023-12-21,S1_1,zone_1,11.07,11.07,65.74,6.09,37.84,22.82,181.11
2023-12-22,S1_1,zone_1,10.0,19.78,83.01,5.95,38.01,20.99,206.41
2023-12-23,S1_1,zone_1,10.07,11.77,68.07,6.13,38.3,24.15,198.44
2023-12-24,S1_1,zone_1,10.0,6.91,56.6,6.22,38.08,22.05,170.43
2023-12-25,S1_1,zone_1,10.0,13.1,70.04,6.24,36.38,21.1,172.29
2023-12-26,S1_1,zone_1,10.0,12.63,59.82,5.92,37.49,21.54,200.27
2023-12-27,S1_1,zone_1,10.0,16.13,77.56,6.03,37.3,18.97,224.31
2023-12-28,S1_1,zone_1,10.71,13.53,84.83,6.39,39.09,23.36,169.24
2023-12-29,S1_1,zone_1,10.0,17.18,81.42,6.24,40.62,19.38,216.99
2023-12-30,S1_1,zone_1,10.0,11.74,70.94,6.09,39.25,19.08,181.1
2023-12-31,S1_1,zone_1,10.0,9.49,71.21,6.09,40.11,19.68,182.77
2024-01-01,S1_1,zone_1,10.0,9.99,81.19,6.07,38.32,27.17,202.03
2024-01-02,S1_1,zone_1,10.0,13.96,64.87,5.97,40.28,21.61,203.29
2024-01-03,S1_1,zone_1,10.0,10.0,68.49,6.29,41.16,15.27,185.99
2024-01-04,S1_1,zone_1,10.0,17.25,67.69,6.05,39.58,19.77,160.98
2024-01-05,S1_1,zone_1,10.0,10.29,80.46,6.31,41.79,20.95,185.11
2024-01-06,S1_1,zone_1,10.0,12.83,72.11,6.1,43.72,23.72,198.17
2024-01-07,S1_1,zone_1,10.0,15.45,63.36,6.2,43.48,25.6,185.4
2024-01-08,S1_1,zone_1,10.0,14.66,70.9,6.27,45.03,23.72,191.68
2024-01-09,S1_1,zone_1,10.0,15.68,74.91,6.1,45.01,26.89,179.11
2024-01-10,S1_1,zone_1,10.0,16.62,76.0,6.02,44.68,19.81,186.64
2024-01-11,S1_1,zone_1,10.0,16.22,63.79,6.3,45.98,24.84,190.23
2024-01-12,S1_1,zone_1,10.0,11.15,79.69,6.26,45.64,18.58,170.99
2024-01-13,S1_1,zone_1,10.0,12.6,73.61,6.38,46.18,23.49,191.92
2024-01-14,S1_1,zone_1,10.0,15.46,77.7,6.31,45.36,24.11,177.32
2024-01-15,S1_1,zone_1,10.0,14.46,83.72,6.23,45.57,21.99,188.84
2024-01-16,S1_1,zone_1,10.0,10.31,76.46,6.3,46.1,17.77,207.1
2024-01-17,S1_1,zone_1,10.0,16.56,72.92,5.94,44.19,24.89,177.58
2024-01-18,S1_1,zone_1,10.0,18.18,80.95,6.26,44.32,20.1,159.85
2024-01-19,S1_1,zone_1,10.0,9.87,76.16,6.24,42.67,24.5,178.96
2024-01-20,S1_1,zone_1,10.0,11.55,74.65,5.98,44.19,18.61,216.2
2024-01-21,S1_1,zone_1,10.0,11.95,83.39,6.15,43.7,23.52,183.21
2024-01-22,S1_1,zone_1,10.0,18.65,63.81,6.33,41.52,24.7,203.9
2024-01-23,S1_1,zone_1,10.0,13.98,75.78,6.2,42.41,21.1,169.77
2024-01-24,S1_1,zone_1,10.0,17.8,68.42,6.1,42.57,18.8,205.34
2024-01-25,S1_1,zone_1,10.0,16.1,82.38,6.12,43.29,22.08,168.26
2024-01-26,S1_1,zone_1,10.0,15.79,79.56,6.2,41.25,22.55,201.12
2024-01-27,S1_1,zone_1,10.0,16.54,59.27,6.15,41.56,23.31,168.91
2024-01-28,S1_1,zone_1,10.0,9.33,67.19,6.13,43.02,19.36,184.11
2024-01-29,S1_1,zone_1,12.38,14.29,76.28,6.24,43.41,18.02,165.81
2024-01-30,S1_1,zone_1,10.0,15.21,68.59,6.12,44.48,25.83,174.07
2024-01-31,S1_1,zone_1,10.0,13.04,65.27,6.3,45.86,26.37,166.52
2024-02-01,S1_1,zone_1,10.0,11.01,69.12,6.16,46.27,20.2,135.01
2024-02-02,S1_1,zone_1,10.0,10.79,68.43,6.3,45.88,21.42,167.26
2024-02-03,S1_1,zone_1,10.0,7.07,73.6,5.94,46.13,29.12,187.66
2024-02-04,S1_1,zone_1,10.0,18.72,83.01,5.98,46.24,21.74,179.19
2024-02-05,S1_1,zone_1,10.0,11.11,71.39,6.27,46.86,19.29,175.92
2024-02-06,S1_1,zone_1,10.0,8.2,74.17,6.42,46.71,25.81,179.94
2024-02-07,S1_1,zone_1,10.0,16.62,70.92,6.41,46.05,23.93,211.26
2024-02-08,S1_1,zone_1,10.0,11.73,55.27,6.14,46.75,22.15,205.38
2024-02-09,S1_1,zone_1,10.0,14.82,76.98,6.24,44.57,21.75,217.06
2024-02-10,S1_1,zone_1,10.62,6.8,88.52,5.79,45.61,19.17,209.24
2024-02-11,S1_1,zone_1,10.0,19.29,60.82,6.34,46.13,32.74,203.74
2024-02-12,S1_1,zone_1,10.0,7.71,59.36,6.0,47.43,21.9,185.92
2024-02-13,S1_1,zone_1,10.0,8.17,78.63,6.15,48.51,18.05,181.93
2024-02-14,S1_1,zone_1,10.0,16.32,68.8,5.79,47.2,29.06,191.06
2024-02-15,S1_1,zone_1,10.0,18.1,77.22,5.91,47.29,23.07,189.56
2024-02-16,S1_1,zone_1,10.0,12.5,80.15,5.93,48.71,19.85,202.73
2024-02-17,S1_1,zone_1,10.0,12.86,63.73,6.32,48.91,24.89,201.27
2024-02-18,S1_1,zone_1,10.0,9.96,70.14,6.29,49.98,19.44,182.77
2024-02-19,S1_1,zone_1,10.0,18.16,67.4,6.05,47.5,25.85,185.19
2024-02-20,S1_1,zone_1,10.0,16.59,76.2,5.99,46.41,24.68,206.47
2024-02-21,S1_1,zone_1,10.0,13.76,79.35,6.33,45.75,22.98,198.22
2024-02-22,S1_1,zone_1,10.0,12.65,75.8,6.07,47.84,19.64,193.15
2024-02-23,S1_1,zone_1,10.0,14.58,61.07,6.39,50.0,22.71,193.82
2024-02-24,S1_1,zone_1,10.0,17.7,67.81,6.25,47.58,21.69,183.66
2024-02-25,S1_1,zone_1,10.0,12.74,76.42,6.04,48.78,21.1,193.97
2024-02-26,S1_1,zone_1,10.0,5.04,61.67,6.2,48.1,14.36,184.92
2024-02-27,S1_1,zone_1,10.27,13.27,67.59,6.26,49.28,19.21,200.13
2024-02-28,S1_1,zone_1,10.12,8.78,53.12,6.36,48.18,22.34,211.99
2024-02-29,S1_1,zone_1,10.0,13.14,86.3,5.97,46.88,24.27,182.26
2024-03-01,S1_1,zone_1,10.0,14.22,75.55,5.75,46.67,26.56,213.77
2024-03-02,S1_1,zone_1,10.0,19.22,60.56,5.98,48.73,26.77,182.32
2024-03-03,S1_1,zone_1,10.0,24.14,56.46,6.25,49.22,23.66,231.04
2024-03-04,S1_1,zone_1,10.0,24.38,73.53,6.33,48.24,18.02,193.13
2024-03-05,S1_1,zone_1,10.0,13.24,53.11,6.0,47.71,26.42,195.21
2024-03-06,S1_1,zone_1,10.0,20.05,51.45,5.9,47.88,21.06,211.44
2024-03-07,S1_1,zone_1,10.0,14.02,65.57,5.99,48.4,24.53,171.72
2024-03-08,S1_1,zone_1,10.0,23.24,45.01,6.38,47.74,20.17,218.07
2024-03-09,S1_1,zone_1,10.0,23.45,81.47,6.2,45.94,23.59,191.74
2024-03-10,S1_1,zone_1,10.0,24.15,77.37,6.13,45.2,19.06,182.67
2024-03-11,S1_1,zone_1,10.0,21.84,72.0,6.19,43.98,26.58,196.7
2024-03-12,S1_1,zone_1,10.0,28.25,60.89,5.94,43.42,15.83,210.65
2024-03-13,S1_1,zone_1,11.35,15.79,82.7,6.31,44.17,26.69,201.34
2024-03-14,S1_1,zone_1,10.62,14.56,48.06,6.04,44.57,19.12,153.01
2024-03-15,S1_1,zone_1,10.0,22.39,66.53,6.35,45.1,19.44,177.44
2024-03-16,S1_1,zone_1,10.0,22.39,51.25,6.29,45.91,24.24,211.54
2024-03-17,S1_1,zone_1,10.02,20.63,67.41,6.08,44.23,21.88,181.72
2024-03-18,S1_1,zone_1,10.0,22.63,55.22,6.28,44.55,24.12,186.52
2024-03-19,S1_1,zone_1,10.0,12.42,67.29,6.19,43.9,21.66,221.09
2024-03-20,S1_1,zone_1,10.0,17.07,65.5,6.05,42.87,21.22,201.52
2024-03-21,S1_1,zone_1,10.0,22.49,62.95,6.42,43.33,21.44,187.09
2024-03-22,S1_1,zone_1,10.0,14.61,63.72,5.99,43.44,23.1,223.76
2024-03-23,S1_1,zone_1,10.0,12.01,74.7,6.2,42.18,18.0,182.81
2024-03-24,S1_1,zone_1,10.0,15.35,54.64,6.33,44.63,21.35,159.53
2024-03-25,S1_1,zone_1,10.0,22.86,70.17,6.14,43.92,20.78,188.16
2024-03-26,S1_1,zone_1,10.0,21.8,65.86,6.43,43.37,23.76,171.36
2024-03-27,S1_1,zone_1,10.0,18.53,66.72,6.29,41.65,14.23,204.58
2024-03-28,S1_1,zone_1,10.0,23.28,56.87,6.21,42.24,21.39,183.12
2024-03-29,S1_1,zone_1,10.0,20.24,50.5,6.01,42.31,21.3,173.63
2024-03-30,S1_1,zone_1,10.0,15.9,49.16,6.17,41.49,20.85,167.37
2024-03-31,S1_1,zone_1,10.0,13.37,69.22,6.42,41.64,15.78,198.6
