date,zone_id,water_applied,fertilizer_N_applied,fertilizer_P_applied,fertilizer_K_applied
2023-11-25,zone_1,22.93,0.0,0.0,0.0
2023-11-25,zone_1,0.0,6.01,3.21,11.74
2023-12-09,zone_1,21.25,0.0,0.0,0.0
2023-12-23,zone_1,20.42,0.0,0.0,0.0
2024-01-06,zone_1,18.44,0.0,0.0,0.0
2024-01-20,zone_1,18.25,0.0,0.0,0.0
2024-02-03,zone_1,16.06,0.0,0.0,0.0
2024-02-17,zone_1,17.41,0.0,0.0,0.0
2024-02-23,zone_1,0.0,6.96,5.21,10.14
2024-03-02,zone_1,20.09,0.0,0.0,0.0
2024-03-16,zone_1,16.94,0.0,0.0,0.0
2024-03-30,zone_1,23.34,0.0,0.0,0.0
2024-04-13,zone_1,16.51,0.0,0.0,0.0
2024-04-27,zone_1,19.82,0.0,0.0,0.0
2024-05-11,zone_1,21.15,0.0,0.0,0.0
2024-05-23,zone_1,0.0,9.56,5.68,9.91
2024-05-25,zone_1,17.44,0.0,0.0,0.0
2024-06-08,zone_1,17.76,0.0,0.0,0.0
2024-06-22,zone_1,24.95,0.0,0.0,0.0
2024-07-06,zone_1,16.36,0.0,0.0,0.0
2024-07-20,zone_1,23.77,0.0,0.0,0.0
2024-08-03,zone_1,22.24,0.0,0.0,0.0
2024-08-17,zone_1,23.31,0.0,0.0,0.0
2024-08-21,zone_1,0.0,6.39,5.37,8.36
2024-08-31,zone_1,22.24,0.0,0.0,0.0
2024-09-14,zone_1,18.86,0.0,0.0,0.0
2024-09-28,zone_1,21.52,0.0,0.0,0.0
2024-10-12,zone_1,24.55,0.0,0.0,0.0
2024-10-26,zone_1,18.95,0.0,0.0,0.0
2024-11-09,zone_1,17.08,0.0,0.0,0.0
2024-11-19,zone_1,0.0,8.49,5.39,8.28
2024-11-23,zone_1,16.01,0.0,0.0,0.0
2024-12-07,zone_1,22.17,0.0,0.0,0.0
2024-12-21,zone_1,20.41,0.0,0.0,0.0
2025-01-04,zone_1,15.52,0.0,0.0,0.0
2025-01-18,zone_1,24.82,0.0,0.0,0.0
2025-02-01,zone_1,20.75,0.0,0.0,0.0
2025-02-15,zone_1,22.06,0.0,0.0,0.0
2025-02-17,zone_1,0.0,5.41,4.9,8.83
2025-03-01,zone_1,17.99,0.0,0.0,0.0
2025-03-15,zone_1,16.76,0.0,0.0,0.0
2025-03-29,zone_1,22.02,0.0,0.0,0.0
2025-04-12,zone_1,22.19,0.0,0.0,0.0
2025-04-26,zone_1,19.97,0.0,0.0,0.0
2025-05-10,zone_1,22.08,0.0,0.0,0.0
2025-05-18,zone_1,0.0,8.33,5.43,9.51
2025-05-24,zone_1,17.23,0.0,0.0,0.0
2025-06-07,zone_1,17.56,0.0,0.0,0.0
2025-06-21,zone_1,19.32,0.0,0.0,0.0
2025-07-05,zone_1,18.6,0.0,0.0,0.0
2025-07-19,zone_1,15.16,0.0,0.0,0.0
2025-08-02,zone_1,24.32,0.0,0.0,0.0
2025-08-16,zone_1,23.92,0.0,0.0,0.0
2025-08-16,zone_1,0.0,8.67,4.07,9.65
2025-08-30,zone_1,18.63,0.0,0.0,0.0
2025-09-13,zone_1,24.94,0.0,0.0,0.0
2025-09-27,zone_1,22.92,0.0,0.0,0.0
2025-10-11,zone_1,24.79,0.0,0.0,0.0
2025-10-25,zone_1,15.06,0.0,0.0,0.0
2025-11-08,zone_1,19.13,0.0,0.0,0.0
2025-11-14,zone_1,0.0,6.0,3.08,10.67
2025-11-22,zone_1,18.58,0.0,0.0,0.0
2023-11-25,zone_2,20.03,0.0,0.0,0.0
2023-11-25,zone_2,0.0,6.86,3.89,9.98
2023-12-09,zone_2,17.19,0.0,0.0,0.0
2023-12-23,zone_2,17.62,0.0,0.0,0.0
2024-01-06,zone_2,22.69,0.0,0.0,0.0
2024-01-20,zone_2,17.3,0.0,0.0,0.0
2024-02-03,zone_2,15.2,0.0,0.0,0.0
2024-02-17,zone_2,21.45,0.0,0.0,0.0
2024-02-23,zone_2,0.0,9.18,5.41,11.65
2024-03-02,zone_2,19.69,0.0,0.0,0.0
2024-03-16,zone_2,23.38,0.0,0.0,0.0
2024-03-30,zone_2,18.57,0.0,0.0,0.0
2024-04-13,zone_2,22.37,0.0,0.0,0.0
2024-04-27,zone_2,17.64,0.0,0.0,0.0
2024-05-11,zone_2,15.87,0.0,0.0,0.0
2024-05-23,zone_2,0.0,7.78,4.31,11.47
2024-05-25,zone_2,18.55,0.0,0.0,0.0
2024-06-08,zone_2,20.04,0.0,0.0,0.0
2024-06-22,zone_2,22.1,0.0,0.0,0.0
2024-07-06,zone_2,23.83,0.0,0.0,0.0
2024-07-20,zone_2,21.2,0.0,0.0,0.0
2024-08-03,zone_2,15.82,0.0,0.0,0.0
2024-08-17,zone_2,18.22,0.0,0.0,0.0
2024-08-21,zone_2,0.0,7.88,3.48,9.18
2024-08-31,zone_2,17.93,0.0,0.0,0.0
2024-09-14,zone_2,20.26,0.0,0.0,0.0
2024-09-28,zone_2,20.16,0.0,0.0,0.0
2024-10-12,zone_2,20.75,0.0,0.0,0.0
2024-10-26,zone_2,24.91,0.0,0.0,0.0
2024-11-09,zone_2,23.58,0.0,0.0,0.0
2024-11-19,zone_2,0.0,7.53,5.52,9.06
2024-11-23,zone_2,24.33,0.0,0.0,0.0
2024-12-07,zone_2,19.75,0.0,0.0,0.0
2024-12-21,zone_2,20.38,0.0,0.0,0.0
2025-01-04,zone_2,18.35,0.0,0.0,0.0
2025-01-18,zone_2,19.41,0.0,0.0,0.0
2025-02-01,zone_2,19.49,0.0,0.0,0.0
2025-02-15,zone_2,18.11,0.0,0.0,0.0
2025-02-17,zone_2,0.0,5.01,5.36,9.15
2025-03-01,zone_2,17.64,0.0,0.0,0.0
2025-03-15,zone_2,16.5,0.0,0.0,0.0
2025-03-29,zone_2,15.39,0.0,0.0,0.0
2025-04-12,zone_2,24.09,0.0,0.0,0.0
2025-04-26,zone_2,22.28,0.0,0.0,0.0
2025-05-10,zone_2,20.5,0.0,0.0,0.0
2025-05-18,zone_2,0.0,9.67,3.57,9.23
2025-05-24,zone_2,17.14,0.0,0.0,0.0
2025-06-07,zone_2,19.26,0.0,0.0,0.0
2025-06-21,zone_2,20.18,0.0,0.0,0.0
2025-07-05,zone_2,17.08,0.0,0.0,0.0
2025-07-19,zone_2,23.5,0.0,0.0,0.0
2025-08-02,zone_2,23.71,0.0,0.0,0.0
2025-08-16,zone_2,17.25,0.0,0.0,0.0
2025-08-16,zone_2,0.0,9.78,4.04,9.44
2025-08-30,zone_2,20.54,0.0,0.0,0.0
2025-09-13,zone_2,19.43,0.0,0.0,0.0
2025-09-27,zone_2,19.8,0.0,0.0,0.0
2025-10-11,zone_2,22.4,0.0,0.0,0.0
2025-10-25,zone_2,23.39,0.0,0.0,0.0
2025-11-08,zone_2,17.31,0.0,0.0,0.0
2025-11-14,zone_2,0.0,5.06,4.72,11.85
2025-11-22,zone_2,22.57,0.0,0.0,0.0
2023-11-25,zone_3,18.96,0.0,0.0,0.0
2023-11-25,zone_3,0.0,5.27,3.74,9.52
2023-12-09,zone_3,16.24,0.0,0.0,0.0
2023-12-23,zone_3,23.46,0.0,0.0,0.0
2024-01-06,zone_3,15.26,0.0,0.0,0.0
2024-01-20,zone_3,19.67,0.0,0.0,0.0
2024-02-03,zone_3,22.27,0.0,0.0,0.0
2024-02-17,zone_3,18.56,0.0,0.0,0.0
2024-02-23,zone_3,0.0,7.72,4.36,12.0
2024-03-02,zone_3,22.37,0.0,0.0,0.0
2024-03-16,zone_3,17.38,0.0,0.0,0.0
2024-03-30,zone_3,15.55,0.0,0.0,0.0
2024-04-13,zone_3,18.83,0.0,0.0,0.0
2024-04-27,zone_3,20.67,0.0,0.0,0.0
2024-05-11,zone_3,16.96,0.0,0.0,0.0
2024-05-23,zone_3,0.0,7.08,5.25,11.5
2024-05-25,zone_3,21.41,0.0,0.0,0.0
2024-06-08,zone_3,17.47,0.0,0.0,0.0
2024-06-22,zone_3,24.99,0.0,0.0,0.0
2024-07-06,zone_3,16.84,0.0,0.0,0.0
2024-07-20,zone_3,19.91,0.0,0.0,0.0
2024-08-03,zone_3,15.23,0.0,0.0,0.0
2024-08-17,zone_3,22.95,0.0,0.0,0.0
2024-08-21,zone_3,0.0,9.32,4.93,9.14
2024-08-31,zone_3,20.91,0.0,0.0,0.0
2024-09-14,zone_3,23.04,0.0,0.0,0.0
2024-09-28,zone_3,22.1,0.0,0.0,0.0
2024-10-12,zone_3,22.38,0.0,0.0,0.0
2024-10-26,zone_3,16.81,0.0,0.0,0.0
2024-11-09,zone_3,23.77,0.0,0.0,0.0
2024-11-19,zone_3,0.0,5.43,3.95,8.17
2024-11-23,zone_3,15.52,0.0,0.0,0.0
2024-12-07,zone_3,23.75,0.0,0.0,0.0
2024-12-21,zone_3,20.48,0.0,0.0,0.0
