date,zone_id,growth_stage,health_index
2023-12-20,zone_1,Dormant,0.67
2023-12-21,zone_1,Dormant,0.77
2023-12-22,zone_1,Dormant,0.78
2023-12-23,zone_1,Dormant,0.67
2023-12-24,zone_1,Dormant,0.73
2023-12-25,zone_1,Dormant,0.77
2023-12-26,zone_1,Dormant,0.67
2023-12-27,zone_1,Dormant,0.76
2023-12-28,zone_1,Dormant,0.66
2023-12-29,zone_1,Dormant,0.67
2023-12-30,zone_1,Dormant,0.72
2023-12-31,zone_1,Dormant,0.73
2024-01-01,zone_1,Dormant,0.67
2024-01-02,zone_1,Dormant,0.67
2024-01-03,zone_1,Dormant,0.74
2024-01-04,zone_1,Dormant,0.63
2024-01-05,zone_1,Dormant,0.61
2024-01-06,zone_1,Dormant,0.75
2024-01-07,zone_1,Dormant,0.62
2024-01-08,zone_1,Dormant,0.77
2024-01-09,zone_1,Dormant,0.73
2024-01-10,zone_1,Dormant,0.68
2024-01-11,zone_1,Dormant,0.72
2024-01-12,zone_1,Dormant,0.67
2024-01-13,zone_1,Dormant,0.79
2024-01-14,zone_1,Dormant,0.66
2024-01-15,zone_1,Dormant,0.63
2024-01-16,zone_1,Dormant,0.75
2024-01-17,zone_1,Dormant,0.71
2024-01-18,zone_1,Dormant,0.68
2024-01-19,zone_1,Dormant,0.71
2024-01-20,zone_1,Dormant,0.74
2024-01-21,zone_1,Dormant,0.68
2024-01-22,zone_1,Dormant,0.67
2024-01-23,zone_1,Dormant,0.51
2024-01-24,zone_1,Dormant,0.71
2024-01-25,zone_1,Dormant,0.68
2024-01-26,zone_1,Dormant,0.6
2024-01-27,zone_1,Dormant,0.65
2024-01-28,zone_1,Dormant,0.65
2024-01-29,zone_1,Dormant,0.59
2024-01-30,zone_1,Dormant,0.73
2024-01-31,zone_1,Dormant,0.64
2024-02-01,zone_1,Dormant,0.64
2024-02-02,zone_1,Dormant,0.72
2024-02-03,zone_1,Dormant,0.67
2024-02-04,zone_1,Dormant,0.64
2024-02-05,zone_1,Dormant,0.74
2024-02-06,zone_1,Dormant,0.67
2024-02-07,zone_1,Dormant,0.76
2024-02-08,zone_1,Dormant,0.59
2024-02-09,zone_1,Dormant,0.66
2024-02-10,zone_1,Dormant,0.58
2024-02-11,zone_1,Dormant,0.64
2024-02-12,zone_1,Dormant,0.65
2024-02-13,zone_1,Dormant,0.69
2024-02-14,zone_1,Dormant,0.64
2024-02-15,zone_1,Dormant,0.73
2024-02-16,zone_1,Dormant,0.61
2024-02-17,zone_1,Dormant,0.57
2024-02-18,zone_1,Dormant,0.64
2024-02-19,zone_1,Dormant,0.58
2024-02-20,zone_1,Dormant,0.68
2024-02-21,zone_1,Dormant,0.69
2024-02-22,zone_1,Dormant,0.71
2024-02-23,zone_1,Dormant,0.65
2024-02-24,zone_1,Dormant,0.66
2024-02-25,zone_1,Dormant,0.71
2024-02-26,zone_1,Dormant,0.7
2024-02-27,zone_1,Dormant,0.6
2024-02-28,zone_1,Dormant,0.62
2024-02-29,zone_1,Dormant,0.68
2024-03-01,zone_1,Budbreak,0.73
2024-03-02,zone_1,Budbreak,0.66
2024-03-03,zone_1,Budbreak,0.78
2024-03-04,zone_1,Budbreak,0.63
2024-03-05,zone_1,Budbreak,0.63
2024-03-06,zone_1,Budbreak,0.75
2024-03-07,zone_1,Budbreak,0.69
2024-03-08,zone_1,Budbreak,0.77
2024-03-09,zone_1,Budbreak,0.68
2024-03-10,zone_1,Budbreak,0.73
2024-03-11,zone_1,Budbreak,0.69
2024-03-12,zone_1,Budbreak,0.66
2024-03-13,zone_1,Budbreak,0.68
2024-03-14,zone_1,Budbreak,0.75
2024-03-15,zone_1,Budbreak,0.68
2024-03-16,zone_1,Budbreak,0.7
2024-03-17,zone_1,Budbreak,0.64
2024-03-18,zone_1,Budbreak,0.74
2024-03-19,zone_1,Budbreak,0.69
2024-03-20,zone_1,Budbreak,0.7
2024-03-21,zone_1,Budbreak,0.8
2024-03-22,zone_1,Budbreak,0.67
2024-03-23,zone_1,Budbreak,0.73
