date,sensor_id,zone_id,ground_moisture,temperature,humidity,pH,nutrient_N,nutrient_P,nutrient_K
2023-12-20,S1_1,zone_1,20.01,14.77,85.77,5.91,21.68,28.14,163.59
2023-12-21,S1_1,zone_1,15.43,13.04,79.22,6.0,21.49,33.97,187.48
2023-12-22,S1_1,zone_1,17.44,8.57,71.04,6.15,23.47,23.12,162.16
2023-12-23,S1_1,zone_1,14.02,10.54,73.06,5.78,21.8,23.52,153.1
2023-12-24,S1_1,zone_1,18.05,10.18,92.09,6.04,21.82,28.41,165.69
2023-12-25,S1_1,zone_1,14.52,13.29,71.05,6.04,21.98,30.58,174.55
2023-12-26,S1_1,zone_1,16.06,13.97,81.38,6.11,22.53,28.39,194.08
2023-12-27,S1_1,zone_1,16.01,12.93,80.0,6.23,21.13,22.28,178.9
2023-12-28,S1_1,zone_1,15.24,14.23,75.51,5.94,22.81,25.69,193.28
2023-12-29,S1_1,zone_1,11.28,17.18,69.05,6.05,22.71,26.44,185.14
2023-12-30,S1_1,zone_1,10.0,11.62,76.19,6.2,21.43,25.54,177.08
2023-12-31,S1_1,zone_1,11.24,11.23,70.68,6.13,21.59,27.21,180.13
2024-01-01,S1_1,zone_1,10.0,17.32,90.25,6.32,22.12,26.96,147.83
2024-01-02,S1_1,zone_1,10.0,15.34,60.71,5.93,22.4,27.18,169.77
2024-01-03,S1_1,zone_1,10.44,12.6,84.82,6.26,21.4,29.5,174.68
2024-01-04,S1_1,zone_1,10.18,12.74,73.58,5.7,21.51,24.64,192.73
2024-01-05,S1_1,zone_1,10.0,10.59,72.86,6.52,21.58,26.54,156.25
2024-01-06,S1_1,zone_1,10.0,11.98,80.58,6.53,20.55,30.62,163.51
2024-01-07,S1_1,zone_1,12.12,4.61,56.36,6.19,20.82,28.9,158.98
2024-01-08,S1_1,zone_1,13.34,13.15,70.79,6.3,20.62,23.15,131.65
2024-01-09,S1_1,zone_1,10.18,12.3,72.49,6.26,22.08,26.68,166.01
