date,temperature,rainfall,humidity,solar_radiation,cloud_coverage,wind_speed,wind_direction
2023-12-20,14.84,0.0,83.34,179.95,53.81,6.87,110.88
2023-12-21,12.47,0.0,74.56,186.86,47.85,6.68,77.04
2023-12-22,8.5,4.15,69.73,192.75,49.98,11.34,175.65
2023-12-23,10.25,0.0,70.67,213.19,48.89,11.19,38.13
2023-12-24,10.04,8.42,85.22,218.48,33.16,7.91,222.52
2023-12-25,13.24,0.0,68.58,194.91,21.36,10.91,81.04
2023-12-26,14.36,4.4,78.88,214.74,2.74,7.05,118.02
2023-12-27,12.99,0.0,77.94,192.6,31.25,7.56,92.72
2023-12-28,14.12,0.0,75.7,226.4,53.77,13.2,145.09
2023-12-29,17.47,0.0,64.88,210.74,26.85,9.49,152.24
2023-12-30,11.59,0.0,72.87,218.58,28.2,8.73,126.48
2023-12-31,11.31,6.96,68.32,201.43,51.04,8.12,14.51
2024-01-01,17.84,0.0,83.52,240.39,28.2,11.6,196.45
2024-01-02,15.25,0.0,61.04,220.21,38.07,7.52,182.17
2024-01-03,12.5,4.95,83.68,210.43,79.79,9.78,150.47
2024-01-04,12.64,4.31,67.35,207.28,32.46,9.29,137.86
2024-01-05,10.68,0.0,71.13,252.34,45.88,7.51,141.52
2024-01-06,11.69,0.0,74.78,287.01,48.57,8.42,290.66
2024-01-07,4.57,4.32,55.24,229.25,52.8,7.25,168.94
2024-01-08,13.11,6.41,68.5,221.74,71.04,7.62,168.26
2024-01-09,12.49,6.14,67.45,290.08,32.2,11.21,163.3
2024-01-10,14.43,0.0,69.77,229.47,64.6,9.8,349.53
2024-01-11,17.79,0.0,73.64,282.75,56.48,10.19,181.56
2024-01-12,14.14,5.07,80.65,266.88,43.65,7.93,107.98
2024-01-13,11.37,0.0,72.29,267.3,34.74,8.93,223.28
2024-01-14,12.55,0.0,72.03,275.68,46.53,7.69,71.37
2024-01-15,16.72,4.66,77.67,278.66,36.26,7.79,148.14
2024-01-16,10.12,0.0,69.85,238.18,36.83,12.59,230.62
2024-01-17,8.83,0.0,69.59,277.56,40.48,8.4,153.79
2024-01-18,9.16,0.0,70.35,287.17,3.28,10.16,88.21
2024-01-19,16.48,5.95,77.41,258.37,41.02,10.27,34.86
2024-01-20,10.95,0.0,72.51,252.05,0.0,7.76,359.65
2024-01-21,9.36,0.0,70.21,284.77,46.42,9.55,86.6
2024-01-22,11.4,0.0,74.55,281.75,40.34,7.71,116.57
2024-01-23,17.66,0.0,77.68,276.87,42.61,8.31,218.32
2024-01-24,10.44,3.89,80.26,291.0,65.85,9.53,23.32
2024-01-25,16.54,3.99,67.76,345.67,22.62,11.15,200.82
2024-01-26,17.18,0.0,92.55,244.88,34.62,7.84,90.79
2024-01-27,14.65,0.0,58.28,300.81,38.32,14.19,184.18
2024-01-28,9.98,0.0,79.87,277.89,28.75,9.96,147.86
2024-01-29,14.5,0.0,69.63,249.9,25.54,10.87,75.43
2024-01-30,7.58,5.21,70.86,284.05,14.13,11.37,184.26
2024-01-31,15.72,6.46,64.2,265.78,26.0,8.46,171.49
2024-02-01,12.92,0.0,64.44,293.9,29.59,9.85,245.44
2024-02-02,14.32,0.0,83.35,310.15,30.63,10.14,155.66
2024-02-03,10.3,5.5,72.86,287.2,26.55,8.65,137.65
